16;13.5;10.0 
17;19.5;13.75 
18;23.5;16.5 
19;29.5;19.75 
20;37.75;24.25 
21;46.5;27.5 
22;51.25;29.5 
23;59.5;33.0 
36;8.75;10.25 
37;16.75;14.5 
38;20.0;16.5 
39;28.0;21.25 
40;33.75;25.25 
41;38.75;29.75 
42;43.75;33.0 
43;52.0;36.5 
44;53.0;37.25 
45;62.0;40.5 
56;16.75;19.25 
57;25.25;21.25 
58;31.25;24.25 
59;41.75;27.75 
60;48.75;29.0 
61;59.75;30.25 
62;65.5;30.75 
63;77.0;30.25 
